Image,Caption,Rights
urn:cite:episteme:vgf1img.atlas_1720,"Leiden, VGF 1, regional map of British isles","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:vgf1img.atlas_1721,"Leiden, VGF 1, regional map of British isles","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:vgf1img.atlas_1722,"Leiden, VGF 1, world map in Ptolemy's first projection","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:vgf1img.atlas_1723,"Leiden, VGF 1, world map in Ptolemy's first projection, folio 2","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:vgf1img.atlas_1724,"Leiden, VGF 1, world map in Ptolemy's first projection, folio 3","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:vgf1img.atlas_1725,"Leiden, VGF 1, regional map of Iberian peninsula","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:vgf1img.atlas_1726,"Leiden, VGF 1, regional map of Iberian peninsula","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:vgf1img.atlas_1727,"Leiden, VGF 1, regional map of Iberian peninsula","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:vgf1img.atlas_1728,"Leiden, VGF 1, regional map of Iberian peninsula","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:vgf1img.atlas_1729,"Leiden, VGF 1, regional map of Gaul","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:vgf1img.atlas_1730,"Leiden, VGF 1, regional map of Germany","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:vgf1img.atlas_1731,"Leiden, VGF 1, regional map of Pannonia and Noricum","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:vgf1img.atlas_1732,"Leiden, VGF 1, regional map of Italy","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:vgf1img.atlas_1733,"Leiden, VGF 1, regional map of Italy, western half","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:vgf1img.atlas_1734,"Leiden, VGF 1, regional map of Italy, eastern half","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:vgf1img.atlas_1735,"Leiden, VGF 1, regional map of Sardinia and Sicily","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:vgf1img.atlas_1736,"Leiden, VGF 1, regional map of Sardinia","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:vgf1img.atlas_1737,"Leiden, VGF 1, regional map of Sicily","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:vgf1img.atlas_1738,"Leiden, VGF 1, regional map of Sarmatia in Europe","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:vgf1img.atlas_1739,"Leiden, VGF 1, regional map of Sarmatia in Europe","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:vgf1img.atlas_1740,"Leiden, VGF 1, regional map of Sarmatia","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:vgf1img.atlas_1741,"Leiden, VGF 1, regional map of Mysia","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:vgf1img.atlas_1742,"Leiden, VGF 1, regional map of Dacia and Upper Mysia","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:vgf1img.atlas_1743,"Leiden, VGF 1, regional map Lower Mysia","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:vgf1img.atlas_1744,"Leiden, VGF 1, regional map of Macedonia and Achaea","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:vgf1img.atlas_1745,"Leiden, VGF 1, regional map of Macedonia and Achaea","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:vgf1img.atlas_1746,"Leiden, VGF 1, regional map of Macedonia and Achaea: Crete and Aegean","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:vgf1img.atlas_1747,"Leiden, VGF 1, regional map of Mauretania","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:vgf1img.atlas_1748,"Leiden, VGF 1, regional map of Mauretania and pillars of Heracles","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:vgf1img.atlas_1749,"Leiden, VGF 1, regional map of Mauretania","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:vgf1img.atlas_1750,"Leiden, VGF 1, regional map of north Africa","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:vgf1img.atlas_1751,"Leiden, VGF 1, regional map of north Africa","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:vgf1img.atlas_1752,"Leiden, VGF 1, regional map of north Africa","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:vgf1img.atlas_1753,"Leiden, VGF 1, regional map of Cyrene and Egypt","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:vgf1img.atlas_1754,"Leiden, VGF 1, regional map of Cyrene and Egypt","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:vgf1img.atlas_1755,"Leiden, VGF 1, regional map of Egypt","Creative Commons Attribution, Non-Commercial, Share-Alike"

urn:cite:episteme:vgf1img.atlas_1791,"Leiden, VGF 1, back leaf with library card","Creative Commons Attribution, Non-Commercial, Share-Alike"
urn:cite:episteme:vgf1img.atlas_1793,"Leiden, VGF 1, projected sphere","Creative Commons Attribution, Non-Commercial, Share-Alike"
